s__Actinobaculum_massiliense,s__Actinomyces_europaeus,s__Actinomyces_neuii,s__Actinomyces_radingae,s__Actinomyces_turicensis,s__Actinotignum_schaalii,s__Actinotignum_timonense,s__Aerococcus_sanguinicola,s__Aerococcus_urinae,s__Alloscardovia_omnicolens,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Anaerococcus_octavius,s__Anaerococcus_prevotii,s__Anaerococcus_vaginalis,s__Atopobium_deltae,s__Atopobium_minutum,s__Atopobium_vaginae,s__Bacteroides_coagulans,s__Bacteroides_uniformis,s__Bacteroides_vulgatus,s__Bifidobacterium_breve,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Blautia_obeum,s__Blautia_wexlerae,s__Brevibacterium_ravenspurgense,s__Campylobacter_ureolyticus,s__Collinsella_aerofaciens,s__Corynebacterium_afermentans,s__Corynebacterium_amycolatum,s__Corynebacterium_aurimucosum,s__Corynebacterium_coyleae,s__Corynebacterium_imitans,s__Corynebacterium_pseudogenitalium,s__Corynebacterium_pyruviciproducens,s__Corynebacterium_riegelii,s__Corynebacterium_simulans,s__Corynebacterium_sp_NML130628,s__Corynebacterium_sp_NML140438,s__Corynebacterium_urealyticum,s__Cutibacterium_avidum,s__Dermabacter_hominis,s__Dialister_micraerophilus,s__Enterococcus_faecalis,s__Escherichia_coli,s__Eubacterium_rectale,s__Facklamia_hominis,s__Facklamia_ignava,s__Finegoldia_magna,s__Fusobacterium_nucleatum,s__Gardnerella_vaginalis,s__Gemella_asaccharolytica,s__Klebsiella_pneumoniae,s__Klebsiella_quasipneumoniae,s__Klebsiella_variicola,s__Lactobacillus_crispatus,s__Lactobacillus_gasseri,s__Lactobacillus_iners,s__Lactobacillus_jensenii,s__Lactobacillus_paragasseri,s__Lactobacillus_vaginalis,s__Lawsonella_clevelandensis,s__Mobiluncus_curtisii,s__Negativicoccus_succinicivorans,s__Peptococcus_niger,s__Peptoniphilus_coxii,s__Peptoniphilus_duerdenii,s__Peptoniphilus_harei,s__Peptoniphilus_lacrimalis,s__Peptoniphilus_sp_HMSC062D09,s__Porphyromonas_asaccharolytica,s__Porphyromonas_sp_HMSC065F10,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Prevotella_bivia,s__Prevotella_buccalis,s__Prevotella_colorans,s__Prevotella_corporis,s__Prevotella_disiens,s__Prevotella_sp_S7_1_8,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Slackia_exigua,s__Staphylococcus_epidermidis,s__Staphylococcus_haemolyticus,s__Staphylococcus_hominis,s__Staphylococcus_lugdunensis,s__Staphylococcus_simulans,s__Streptococcus_agalactiae,s__Streptococcus_anginosus_group,s__Streptococcus_mitis,s__Streptococcus_oralis,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Trueperella_bernardiae,s__Varibaculum_cambriense,s__Veillonella_atypica,s__Veillonella_parvula
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9974,0,0,0,0,0,0,4189,0,0,0,0,0,0,0,0,0,0,0,0,0,22804,0,0,0,0,3246,0,0,0,0,0,0,0,6847011,0,0,22781073,168715,652,0,0,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5117,34911,0,0,0,0,0,0,0,0,0,0,924,0,0
0,173,1745,0,0,0,1036,0,0,0,0,0,0,0,0,0,1974,1625,0,0,0,0,0,0,0,0,2229,636,0,0,5635,0,14019,3189,0,462,0,0,0,0,0,517,928,0,5550,5787,0,0,0,17772,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8814,3792,190,0,0,0,0,0,6861,0,0,0,0,0,0,0,10177,0,2616,0,0,0,0,0,0,0,0,0,4538,192,0
438,0,0,0,0,0,5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,8308,0,0,606,6345,0,0,0,0,0,0,0,0,0,0,332,153,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,2261,0,0,0,0,0,0,0,1750,1808,0,0,0,406,1557,0,0,1601,0,0,0,0,1247,0,0,0,0,0,851,0,0
81001,3666,17675,0,0,0,12857,0,2396,0,218,0,1198,4098,1591,0,121,0,0,0,0,0,0,0,0,0,3711,65499,0,0,160210,234858,0,4994,4611,46928,0,138938,0,0,0,16849,6072,6530,22264,0,0,43701,14967,363368,497,0,564,0,0,0,0,0,0,0,0,0,656,513,2292,0,41084,0,339497,70707,4455,2319,8352,0,0,102616,918,0,44165,0,0,76354,449298,0,767,218811,1197,27925,0,0,198842,0,0,0,0,0,48432,0,6121
0,0,0,0,12774,0,0,0,0,0,0,0,0,0,0,0,0,891268,0,0,0,2574,0,0,0,0,0,0,2951,349,0,8067,1687,1496,1345,115273,0,0,115,1228,0,82369,48,237,77383,0,0,6669,0,78310,117,4567252,0,0,0,0,0,0,338374,0,0,0,0,0,0,0,0,0,25473,0,0,0,0,0,0,0,0,0,0,0,0,0,6744,0,52163,13793,3512,427,0,0,2772,0,0,0,0,402,1635,66887,0
0,34517,0,0,0,406,0,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,18909389,0,0,0,0,12686,434,1445889,0,0,0,1373,136955,0,18021,0,0,75638,0,0,0,0,0,553,8729,32935,88961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10838,0,0,0,0,0,0,3668737,0,0,0,0,0,0,0,0,1606,0,0,0,1101687,0,0,2597,523,0,163,0,0,0,0
9592,0,0,0,0,0,0,0,2071,323726,13174,0,0,304,149,0,0,0,0,0,0,0,27037,0,0,0,0,0,0,0,4523,52297,101641,0,4567,50838,0,192,0,30,0,0,243,0,0,0,0,3733,0,39031,0,0,0,0,0,0,0,0,0,0,11691327,334126,0,0,311,0,5996,0,11858,0,0,0,0,0,0,2166,0,0,0,0,0,3189,389,0,4683,0,9587,513,0,97338,9004,0,0,0,0,0,737,0,0
177,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,315,0,0,0,0,0,1724,0,0,0,0,0,4806,2849,2451,0,0,0,0,0,0,2290826,0,0,26680,0,0,0,0,0,0,0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,0,16876,0,2686,0,0,0,0,0,0,0,0,0,0,2493,0
3630,1843,16391,0,0,364,0,0,897,0,0,0,0,0,0,0,203,0,2281,0,0,125327,13070,0,0,0,0,0,0,0,0,0,0,0,485,8369,0,0,0,0,0,0,0,0,5667,0,0,5367,0,374,6275,0,60,0,0,0,14485042,2250,0,0,2626,69079,12434,0,0,0,33,0,1283,9804,0,0,0,0,0,0,308,0,0,0,0,8194,0,0,3238,2477,436,0,0,0,0,0,0,0,0,0,10922,0,0
11427,0,0,0,0,0,0,0,0,3930,2281,0,0,0,0,2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4909,5796,0,0,230,70,0,0,0,0,0,848,1581,0,1279,0,0,0,0,24521,0,3248,0,0,0,0,0,0,12459,0,0,0,0,0,0,0,2316,0,12759,0,0,0,0,0,0,1898,0,0,0,0,0,4490,1376,0,13099,39466,0,0,0,351368,41640,0,0,0,0,0,4328,0,0
